Country;Notes;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Cape Verde;;14,1;...;...;...;9,1;6,9;8,4;15;10,1;9,6;10,3;11,3;15,1;10,2;9,7;12,3;13,5;14,7;14,3;16,1;21,6;16,7;16,2;19,1;19;19,2;19,6;17,4;19,8;18,2;20,9;18,9;21,9;21,8;19,8;27,5;32,1;38,2
Central African Republic;14;...;...;...;7,4;7,7;6,2;3,3;3,9;3,6;...;...;...;...;...;2,7;3,7;3,6;3,6;...;4,3;7;7,8;11,6;11;9,3;10,4;8,2;5,8;5,7;5,8;6,3;8,3;8,9;10,9;8,2;12,3;13,6;13,7
Chad;§;14,1;9,9;5,8;...;5,6;6;3,3;2,9;3,4;2,2;2,1;2,6;2,6;3;3,8;4,4;5,2;5,5;21,2;35,7;54,3;63,2;50,9;48,7;...;54,1;28,1;15,3;20,8;14,3;15,9;14,3;19,1;18,9;18,3;19,9;28,1;31,3
Democratic Republic of Congo;§15;6,4;1,9;1,3;1,2;2,2;11,7;...;...;2;1,8;0,6;3,1;2,7;...;...;1,4;2,5;2,9;3,4;3,3;2,5;1,9;2,7;3,4;4,6;5;4,4;6,2;4,8;3,5;3,3;3,9;3,8;3,1;3,7;7,6;8,4;11
Congo;§;...;...;...;...;50,6;42,9;...;...;...;...;...;...;...;16,9;21,3;27,7;35,5;27,8;33,6;43;51,3;...;49,8;...;...;76,5;143,4;...;97,3;70,4;54;54;52,5;53,8;44,6;46,7;29,1;32
Cote d'Ivoire;18;11,6;11,3;12;11,6;12,1;11;6;...;6,8;5,9;...;...;...;...;...;11,3;13;12,6;13,2;15,6;17,3;19,3;17,4;15,7;17,5;18,1;21,6;22,9;23,5;19;22,4;19,3;21,3;21,8;20,2;22,2;20,9;23,5
Djibouti;§;66,2;62,2;56,9;51,9;51,7;51,6;49;47,2;38,4;40,4;38,9;37,6;35,4;34,3;42,4;51,7;45,6;53,9;58,5;39,9;41,1;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Equatorial Guinea;§;...;...;...;...;...;...;4,4;6,2;...;...;...;...;...;...;...;...;...;...;...;193,9;276,3;335,2;...;...;...;...;121,3;96,2;94;88,7;94,1;90,4;95,7;93,8;88;88,8;61,3;63
Eritrea;§‖19;...;...;...;...;...;59,4;42,2;64,8;71,8;43,4;121,3;124,5;103,3;73,7;63,8;75;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Ethiopia;§;14,2;17,4;16,8;10,9;5;3,1;2,7;2,2;2,2;3,7;7,4;10,9;9,3;5,1;4,1;3,8;4,2;4,4;4,3;4,4;4,6;3,9;3,3;3,5;3,9;3,9;4;4,1;4,7;4,8;4,6;4,5;3,8;3,7;8,3;9,7;5,4;3,9
Gabon;§20;...;...;...;...;...;...;...;...;...;...;...;...;72,5;69,7;71,4;79,5;89,3;81,9;87,7;...;...;...;159;152;153,3;150,1;106,9;84,7;97,9;125,6;119,6;119,1;114,8;132,6;115,5;108;127;138,8
Gambia;‡§21;2,3;2,7;3,4;3,7;3,1;2,2;1,9;2,3;3,1;3,2;3;2,5;2,3;1,7;1,5;1,3;1,2;1,8;1,6;2,6;9,6;3,8;...;...;5,6;5;6,8;6,3;...;...;4,8;6;6;6,2;6;5,4;5,4;5,3
Ghana;‖22;1,6;1,5;1,8;2,7;2,6;2,5;2,3;2,9;2,5;2,5;3,1;3,1;2,6;1,6;1,8;2,5;2,6;2,9;3,3;5,4;4,8;4,8;4,9;9;12,6;9,3;9,6;6,8;5,6;6,4;7,2;7,6;7,8;9,5;7,6;9;8;14,6
Guinea;23;...;...;...;10,9;8,2;6,3;6,3;...;...;5,6;5,6;6,8;5,5;10,3;11,4;9,6;9;...;...;...;...;...;...;...;15,7;17,8;17,4;19,1;13,6;14,9;15,7;15,4;15,7;18,1;31,8;35,5;38,6;40,2
Guinea-Bissau;‖24;...;4,7;...;...;...;...;1,9;2;1,7;1,6;2,5;...;7,8;5;5;5,8;...;8,9;...;...;...;9,1;11,1;11;15;13;12,5;9,7;8,7;10,3;5,6;11,5;12,1;12,6;9;8,6;10,7;10
Kenya;†;12;10,5;11;8,2;6,5;4,3;4,6;5,7;6,3;6,3;6;5,2;5,5;6,3;6,7;7,4;7,6;9;10,3;13,2;15;14,5;15,2;15,3;19,4;19,4;18;18,1;19,6;20,9;22,4;22;21,6;22,6;21,5;19,2;22,5;25,8
Lesotho;§;9,8;12,9;13,5;12,2;13;11,7;13,5;17,7;14,4;14,5;13,9;17;15,2;11,7;9,8;13,7;15,9;17,1;18,1;20,5;14;24;35,5;29;26,3;23,4;23,1;21;19,6;24,5;23,5;20,4;17,4;16,5;15,2;15;15,8;17
Liberia;25;10,4;...;...;13,2;11,2;14,3;18;...;...;...;...;...;...;...;...;...;1;2,5;1,2;1;1;1,9;2,1;3,2;3,5;3,4;3,2;3,2;3,1;2,8;2,7;2,6;2,5;5,7;9,8;11,5;6,1;7,8
Madagascar;‖26;2,9;2,6;3,2;2,8;1,8;2,9;2,1;2;3,5;3,6;3,3;2,9;2,9;3,9;3,3;4,1;3;2,9;2,8;4,1;5;3,3;2,6;3,2;3;3;2,9;2,3;2,3;2,5;2,7;2,8;3,1;3,4;3,3;3,3;3,9;3,7
Malawi;;2,4;2,5;2,6;2,4;2,5;2,5;1,7;1,1;2;2,5;1,4;1,3;1;1,1;1,3;1,1;1,8;3;2,4;2,5;3,2;4,1;3,4;3,5;3;3,9;3;2,4;2;2,7;3,2;4,5;5,1;4,6;5,7;7;5,5;7,4
Mali;¶;5,5;5,2;5,7;...;...;4,6;3;4;3,9;3,8;3,8;4;3,8;3,8;4,1;5,3;6;6,5;7;7,8;9,7;9,5;9,4;9,9;8,9;9;12,3;16,9;19,2;23,6;23,9;22,9;27,8;29,6;25,6;33,5;38,7;38,4
Mauritania;§;23,5;20,7;20,9;19,9;19,3;14,1;13,3;14;16,2;17,5;10,5;12,8;14,7;19,6;13,4;22,5;...;23;27,5;...;39,4;35,5;...;...;40;39,2;38,2;34;34,1;34,8;37,3;36,6;44,3;49,1;47;55,8;54;61,4
Mauritius;†;4,4;5,9;8,5;9,6;10,3;9,6;10,4;11,7;11,1;8,3;7,1;7,5;7,7;7,3;7,7;8,8;8,8;8,7;8,6;9,2;12,2;12;11,6;13,6;12,9;18;15,3;13,2;17;17,6;17,9;16,7;14,3;15,3;14;18,6;14,9;18,8
Mozambique;‖27;5;6,2;6,5;5,4;4,4;4,3;5,1;2,1;2,2;2,5;2,9;3,2;3,1;2,8;2,9;3,1;4;3,1;2,8;3,3;3,9;3,8;4,4;5,1;5,8;6,4;6,8;5,1;4,1;4,7;6,9;7,3;9,5;9,9;13;12,2;14,2;13,3
Namibia;;xxx;xxx;116,6;103,9;86,6;47,3;37,2;43,2;40,9;50,2;46,1;60,3;51,4;52,6;46,9;68;86,5;98,3;100,8;113,8;131,2;144,4;189,2;207,5;190,7;173,7;235,8;219,1;177;183,6;179,4;158,3;137;144,5;128,3;115,8;122,7;134,1
Niger;;...;...;...;...;...;...;1,9;1,9;1,8;1,7;2,1;2,2;1,8;2,1;1,7;2;2,4;2,4;...;...;3,6;3,4;4,1;5;8,5;5,8;7,7;...;8,2;9,5;10,5;11;10,2;8,4;9,7;12,9;16,4;17,8
Nigeria;§28;3;1,8;2,9;2,5;1,7;2,8;3;5,8;6,2;7,1;9,7;4;3;4,5;6,8;4,3;4,6;4,7;5,3;6,4;10,4;9,4;12,1;14,1;13,3;13,5;12,9;11;9,1;8,2;10,6;10,5;12,8;20,6;14;13,6;4,9;8,9
Rwanda;29;5,3;5,9;13;14,1;11,7;11,5;4,9;10,5;12,4;10,4;10,8;10;7,5;6,9;6,1;5,3;4,7;5;5,9;5,9;7;7,6;7,3;7,2;7,5;7,5;8,1;9;9,2;9,6;9,6;9,8;11,6;12,7;13,2;13;12,4;13,3
Senegal;§30;14,7;13,5;15,5;14;13,6;14,5;7,8;9,3;8,9;7,7;8;8,1;6,3;6,8;7,2;9,1;9,9;11,2;13,1;16,6;18,2;17,6;15,7;18;15;17,5;17,2;14,9;20,6;20;24,5;22,1;20,9;28,4;24,1;25,1;34,9;30,3
Seychelles;†;169,3;179,4;201,7;222,6;272,5;170,4;154,8;149,2;134,2;143,9;131,7;136,3;124,9;131,8;137,3;141,5;181,8;166;159,9;166,9;120,9;92,9;76;91;101;136,6;299;170,9;202;200,1;189,1;186,4;158,9;300,8;188,5;231,1;213,8;215,6
Sierra Leone;31;2,3;3,6;3;5,4;6,4;5,6;6,4;6;4,5;2,2;2,3;3,9;5,4;6,6;5,6;5,6;4,4;4,3;5;5,1;4,1;4,4;4,1;4;4,6;4,8;7,2;5,6;6,1;5,4;4;3,2;4,2;5,4;5,1;4,6;6;3,7
Somalia;32;6,7;1,2;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,1;4,6;3,4;3,4;4,2;5;4,6;6;6,5;6,8;7,7;10,8;10,3
South Africa;;112,5;107,1;108,6;93,8;87,4;76;79,4;74,5;57,8;53,2;41,5;37,4;40,3;38,1;37;53,3;63,6;72,4;70,5;70,2;64,7;69,9;80,5;87,2;84,2;75,9;70,6;62,2;54,8;62,9;62,4;58,1;53,8;58,1;55,9;48,7;47,7;49,3
South Sudan;33;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;70,9;71,9;104,2;67,5;68,9;106,2;93,8;89,5;114,6;25,5;7,1;6,1;13,8;14,7;9;5,9;9,3;13,3;14,3;14,8
Sudan;§‖34;17,7;...;54;61,4;8,1;11,1;9,5;5,7;4,3;3,8;9,9;16;21,4;13,8;16,8;13,5;41,1;37,7;52,1;75;97,3;93,3;...;...;...;...;...;57,8;67,2;104;22,9;16,1;20,3;7,8;...;...;...;...
Eswatini;‡35;11,2;10,6;16,6;18;22,6;24,7;26,3;30;27;25,7;25,4;25,2;23,6;18,8;17,4;30;39,9;55,3;54,1;56,9;60,9;68,9;92;95,6;80,9;76,4;71,8;64,5;70,3;76,1;82,4;73,7;64,8;69;68,6;67,8;67,3;74,7
Tanzania;;5,1;4,2;3,4;4,1;3,6;2,1;2;2,8;3,3;3,8;4,2;3,9;4;4,3;3,9;3,4;3,4;3,6;3,7;4,1;4,6;5,1;6,4;6,8;7,7;9,2;10,2;10,1;10,3;10,3;10,7;10,7;11,4;12,3;13,9;14,6;13,8;14,8
Togo;;11,6;10,9;12,9;11,3;11,8;11,7;6,2;7,1;...;...;...;...;...;...;...;5,3;5,6;5,8;...;...;9,1;8,5;8,6;8,6;9;10,1;11,3;9,2;10,6;11,1;12,8;20,4;19,1;22,7;37,5;30,1;22,6;21,3
Uganda;;8,7;8,4;6,2;4,1;2,8;3,3;5,3;6,2;6,5;6,5;7;7;6;5,6;5,7;5,9;7,3;7,9;7,7;8,6;10,4;9,5;19,1;18,5;10,4;8,6;9,1;8,3;8,4;8,8;10;15,3;22,5;23,5;19,8;20,3;22,6;25,6
Zambia;§;11,9;22,4;18,1;10,9;12,1;6,2;7,4;6,4;4,3;4,8;...;5,8;...;...;...;...;8,8;12,1;17,3;18,8;21,7;16,7;20,4;21,8;23,6;25,2;28,4;23,1;18;19,6;21,4;16;11,3;11,2;16,4;18,1;16,6;18,8
Zimbabwe;§‖36;43,1;42;41,6;36,6;28,1;23;22,8;24,1;26,4;27,7;26,7;22,5;29,2;24;56,3;16;20,8;10,6;12,9;...;...;...;7,4;14,7;23,2;25,6;26,1;26,3;24,7;23,2;28,2;36,1;15,7;30,3;20,9;53,7;6;9,5
Belize;;...;24,6;26,3;25,6;28;31,8;40,1;40;38,5;44;...;...;30;30,5;31,1;32,9;35,4;38,9;43,3;47,1;62,3;56;48,4;47,6;46;52,6;57,7;55,9;60,3;62,4;61,9;63,7;67;67,9;70;79,6;85;79,3
Costa Rica;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuba;§38;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;26,5;5,5;7;6,8;7,4;7,9;8,2;8,3;8,3;11,2;10,6;11,1;10,5;11;10,9;11,4;...;...;...;...;...;...;...
Dominican Republic;;7;7,7;6,8;4,7;8,6;12,8;13,2;10,8;13,4;18,6;19,3;20,9;29;35,4;30,9;17,5;16,9;29,7;27,9;29,2;35,1;33,3;36,4;35,3;39,6;37,8;42,7;44,1;45,7;50,2;55,4;56,6;54,7;55,2;69,2;83,9;88,9;90,4
El Salvador;39;34,8;40,6;30,6;26,6;24,2;20,7;19,2;19,5;19,2;19,3;18,9;19,5;18,6;25,3;27;21,1;21,3;22,1;23,7;27,6;28,7;31,4;33,2;36,3;36,8;38,8;38;40,1;40;42;47,4;51;55,3;56,3;73,2;72,2;77,6;77,1
Guatemala;;17,4;17,5;14,9;13;16,4;15;15,4;15,6;13,5;12,3;12,7;11;13,7;16,6;13,1;14,4;9,1;8,1;9,9;10,1;12,1;10,5;11,8;13,5;15;16,4;15,8;15,9;18,1;16,7;16,3;19,5;19,9;19,3;24,9;24,3;24,8;34,1
Haiti;§40;0,3;0,3;0,4;0,3;0,2;0,2;0,2;0,3;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,4;0,5;0,5;0,6;0,6;0,9;1,1;1,4;2,6;1,1;1;1,7;3,3
Honduras;41;28,4;28,9;13,7;9,4;...;7,6;...;...;...;...;...;...;8,1;9,4;9,3;11,7;8,4;8,5;10;12,4;16,7;19,4;20,6;23,7;24,3;28,9;26,9;31,5;35,8;38,7;37;39,8;34,1;41,3;44,4;49,7;51;53,2
Jamaica;;13,2;17,4;16,3;13,3;19,6;18,3;13,9;14,2;16,6;21,6;18,6;17,5;16,8;17,7;21,6;20,7;20,5;22,1;27;30,8;48,1;42;42,1;48,5;49,8;46,2;43,5;44,2;47,9;51,2;74,4;94,3;83,4;75,8;77,7;81,1;97,2;101
Mexico;;12,4;14,3;14,8;17,4;21,4;24,4;29,8;17,4;20,5;23,4;23,9;27,5;31;32,5;31,5;28,9;27,5;29,7;28,5;39,1;39,6;40,6;42,5;48;49,3;55,1;56,7;45,4;43,9;41,2;47,1;53,1;63,7;68,2;78,5;91,7;158;103,9
Nicaragua;42;...;...;277,7;16,1;11;9,1;7,9;7,6;6,7;6,3;5,4;5,5;6,2;5,6;6,8;6,8;6,2;6,4;6,9;7,2;7,7;7,4;7,8;8,9;12;12,5;13,5;16,2;13,7;13,8;12,8;11,8;12,2;11,7;12,6;14,6;15,8;16,7
Panama;43;44,2;42,8;30,1;31,7;31,1;36,8;38,2;35,8;36,8;42;36,3;38,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trinidad and Tobago;;...;...;...;...;...;17,7;18,8;...;...;...;...;...;...;10,5;14,7;25,3;56,5;72,5;85,3;91,6;101,6;100,7;103,5;105;120,6;150;133,3;141,8;150,7;139,9;114,5;115,9;115,4;140;146,3;163;158,1;152,3
Canada;;370,4;396;413,7;405,2;380,8;358,2;330,4;313,2;290,9;265,5;256,6;269,5;270;269,8;270,7;314,2;354,5;402,3;454,3;529,1;581,5;563;567,8;622,3;588,8;527,4;554,9;509,1;483,3;584,3;582,7;566,7;617;644,4;651,1;739,3;774,4;938,6
United States;44;1252,3;1290;1291;1174,4;1259,7;1212,6;1166,6;1108,6;1068,3;1077,1;1059,1;1074,3;1142,8;1173;1324,8;1527,1;1692,2;1812,1;1878,7;1963,5;2164,5;2303;2384,3;2406,6;2297,8;2131,8;2014,3;1952,5;1953;1955,5;2045,4;2182,7;2295,2;2373,2;2527;2674,7;2917,2;2755,4
Argentina;5;85,5;45;63,1;86,6;97,3;99,3;109,2;109,1;95,7;93,5;94;94,6;88,3;85,1;29,5;36;38;43,6;46,9;57,7;69,4;73,4;84,6;97,6;108,8;121,3;116,4;126,8;103,2;123,8;86,4;69,9;62,7;67,9;95,6;107,4;91,6;84,7
Bolivia;10;13,7;14,7;19,4;19,9;19,2;14,6;17,6;18;18,5;22,3;27,8;21,1;20,3;21,8;17,8;19,3;18,2;17,7;17,8;20,3;37,5;30,7;54,2;39,3;47,9;53,3;58,1;53,1;46,8;51,2;52,8;51,2;43,4;45,1;35,7;48,4;46,3;55,1
Brazil;;41,2;60,4;62,5;44,5;32,6;45,6;67;89,2;86,4;84,2;85,5;57,9;65,6;62,4;54,5;46,7;53,8;74;88,3;109,2;129,1;134,1;176,3;189,9;173,3;166,3;163,9;122,5;119,7;143,5;137,2;125,3;94,1;91,7;97,9;103,4;99,1;112,7
Chile;45;77,6;75,5;77,4;76,6;84,9;92,3;103,2;126,7;130,1;142,9;140,5;134,2;136,5;121,4;112,8;129,7;166,8;190,6;234,7;242,5;277,1;230,6;286,3;329,3;313,5;314,2;287,1;257,9;264,4;291,9;296,2;271,8;271,4;267,6;238,4;279;279,3;268,9
Colombia;46;28;27,5;27,7;27,8;33;44,8;57,6;73,8;119,5;81,2;90,5;85,2;78,1;82,8;83,7;80,7;98,4;117,4;125,6;157,7;208,1;205,2;234,1;228,9;257,3;272,2;255,5;195,2;183,9;210;208,7;205,5;189,8;199,9;187,8;207,2;263,8;272,8
Ecuador;47;20;18,7;19,5;19,7;19,5;25;25,8;41,4;35,8;41,9;45,2;23,9;21,1;30;38,8;55,8;52,6;69,5;68;92,2;113,9;132,6;140;161,4;167,6;174,3;175;160,8;153,4;148,1;150,9;136,3;134,9;136,7;145,8;150,4;159,6;150,2
Guyana;48;14,5;8;4,8;2,7;4,8;5,9;7,3;7,5;7,3;...;...;...;16,5;18,8;21,8;21,4;29;24,3;25,2;32,9;40,4;41,2;41,4;43,4;45,1;47;52,2;61,4;67,7;77,7;80,2;82,8;95,5;94,6;108,1;134,2;249,4;297,1
Paraguay;49;47,4;25,3;28,2;48,3;40,4;36,7;36,5;45,7;43,6;35,4;28,7;23,5;21,8;17,7;13,4;12;15,8;14,3;19,5;23,9;30,1;29,9;35,9;49,4;54,8;62,5;66,1;63,2;55,3;55,3;60,6;57,1;55,5;55,2;54,4;58,5;60,1;60,4
Peru;50;35,4;40,5;35,7;31,3;39,8;41,3;47;58,6;56,8;47,1;44,8;38,2;34,5;33,7;30,9;32,5;33,3;43;45,8;46,9;52,5;64,2;75,2;80,7;97,1;111,4;107,4;109,4;82,8;85,9;83,9;85,4;81,2;79,8;84;98,3;74,7;75,5
Uruguay;;85;96,8;106,1;86,3;117,2;133,1;142,3;164,7;180;178,9;177,4;176,9;170,5;159,9;105;82,2;85,1;105,8;119,5;126,4;172,1;174,6;228;248,2;277,6;312,9;308,7;288,5;292,6;344,2;374,9;339,9;320,9;366,5;382,9;445,7;467,3;577,2
Venezuela;‖51;58,9;62,6;37,7;49;48,3;61,3;43,7;54,6;32,7;67,3;62,1;59,1;73,6;77,2;42,5;38,5;55,5;100,3;134,4;158,6;203,2;143,6;139,4;123,4;174,1;208,5;51,7;10,5;7,1;69,1;…;…;…;…;…;…;…;…
Australia;;354,7;376,5;394,3;407,2;394,2;381,7;419;426,1;450,7;431,1;382,1;413,2;382,5;365,9;407,9;503,7;601,8;656,6;697,1;828,1;880,8;878,3;1056,3;1192,5;1157,2;1077;1100,8;1011,7;1093,5;1128,8;1076,6;1030,4;1064,1;1266,6;1244;1230,5;1287,8;1315,9
Fiji;†68;32,7;38,1;39,7;41,8;39;40,7;42,5;43,5;41;38,4;27,6;28,8;38,3;38,8;36,2;43,3;53,8;49,1;61;84,5;59,5;56,6;55,5;66,7;64,8;63,5;81,6;46,4;59,2;81,9;88,6;86,3;77,9;75;73,9;79,3;83,6;87,2
New Zealand;;290,6;288,8;316,2;286,8;247,8;244,1;272,4;314,4;334,4;314,4;255,3;253,7;223,2;205,9;221,2;273,6;294,2;314;326,8;378,6;361,8;341,5;406;443,6;444,2;441,1;445,1;380;412,1;450,1;473,8;551,6;558;569,4;553,3;589,1;577,7;545,7
Papua New Guinea;¶69;12,6;14,1;17,9;13,3;14,3;16,2;18,9;12,4;16,7;16,2;9,8;6,8;6,2;4,5;2,9;3,2;3,9;4,7;4,7;5,7;5,6;7,1;6,2;8,3;13,9;12,8;13,4;11,6;8,9;8,9;8,6;9,4;9,7;8,7;13,2;9,8;8,7;10
Afghanistan;2;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5,4;5,1;5,3;8,5;9,3;9,3;10,7;11,4;7,9;7;8,3;6;5,4;5,4;5,5;6,1;7,3;7;...;...;...;...
Bangladesh;9;3,1;3,5;3,4;3,4;3,7;4;4,6;5,1;5,2;5,4;5,5;5,6;5,6;5,2;4,9;5,1;5,4;5,4;5,7;6,5;6,9;8,4;10,7;11,8;11,8;13,1;15;17,7;20,3;20,2;22,4;26,5;28,1;29;25,5;21,6;21,7;21,9
India;59;13,9;12,7;12,3;9,9;9;9;9,5;10,3;10,2;11,6;11,8;13,5;13,6;13,7;13,6;14,8;18;20,1;20,6;23,9;27,5;31,8;37,3;39,6;37,2;36,8;39;38,9;42,4;47,8;48,4;51,7;52,2;54,1;56,3;57,5;59,3;63,2
Nepal;¶;1,9;1,9;2;1,8;1,9;1,8;1,8;1,8;1,8;1,9;1,8;2;2,1;2,6;3,4;4;5,1;6,1;5,9;6,4;7;7,7;9,4;10,4;9,3;10,2;11,9;11,7;12,8;15,6;15,3;15,1;15,2;15,3;15,3;15,3;14,7;14,5
Pakistan;60;25,5;23,3;24,6;26;27,8;26,4;25,8;27,6;26;23,6;22,3;20,7;19,5;18,1;20,3;22,6;24,4;26,5;28;29,4;27,9;27,5;30,3;34,5;36,3;36,6;40,8;44;45,7;51,2;51,3;44,7;44;49;42,8;35,1;41,3;46,9
Sri Lanka;61;10,3;7,8;11,4;16,9;19,7;21;25,5;43,9;43,3;38,7;39,8;33,6;43;34,7;29;27,2;30,9;32;39;51,6;73,5;73,5;73,6;83,7;70;75,3;89,2;95,1;79,8;84,8;73,9;69,8;66;67,3;44,2;48,4;54,9;60
China;55;...;10;8,7;8,4;10,4;10,4;8,2;10,2;11,6;12,7;13,7;16,3;17,6;20,8;23,6;25,7;29,2;32,8;39,2;47;59,3;72,2;78,3;92,4;106,4;119,4;131,6;141,1;142;149,6;164,2;169;181;200,5;204,5;208;219,5;236,7
Japan;56;230,9;227,9;233,8;265,2;290;331,8;362,1;398;350,1;322,2;299,4;340,4;358,6;320,6;308,8;333;354,9;346,4;324,8;316,5;361,8;401,5;426,3;474,1;468,8;383,5;367,5;330,6;365,7;354,2;382;400,4;406;425,4;344,3;385,8;437,2;503,6
North Korea;57;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;34,1;35,6;37,3;62;...;...;...;...;...;...;...
South Korea;58;181,4;219,1;230,7;247,1;260,8;276,5;300,4;355,5;360,8;324,3;226,9;260,8;296;275,9;298,9;334,2;374,5;463,8;525,4;576,5;540,2;507,3;579,2;633,9;647,3;688,5;746,5;720,3;720,5;762,1;835,1;852,9;889,8;980,4;895;923,5;920,1;924,1
Mongolia;;...;...;...;50,7;14,9;6,2;7,2;9,2;9,2;7,9;8,3;7,4;9,9;9,4;10,2;9,7;11;11,7;15,2;21,8;25,5;14,2;20,5;32;41;36,7;36,5;34,6;32;28,5;28,1;29,4;29,3;29,3;26,7;32,7;51,9;63,3
Taiwan;†¶104;353,4;400,5;424,3;449,9;482,3;552,8;562;534,8;544,1;519,6;420,1;432,5;394,9;356,6;334,6;330,3;345;351,6;334,4;355,2;388,8;394,5;391,8;430,1;450,5;426;418,1;417,1;410,2;443,8;444,2;464,5;508;589,2;650,2;699,4;654,8;785,2
Brunei;§12;751,6;761,4;918,6;947,9;945,3;855,6;933,5;993,4;1114,1;1222,9;951,8;818;756,2;659,8;671,6;708,7;569,9;698,3;810,9;879,4;967,2;917,3;1005,5;1048,7;1021,2;1009;1274,8;1010,8;949,3;805,9;821,7;942;980,8;1008;960,6;982,9;1215,7;...
Cambodia;;...;...;4;5,8;7,9;5,3;12,1;12,8;10,9;9,2;7;7,2;6,6;5,6;5,1;5,2;5,3;5,3;5,6;5,8;5,9;9,6;11,7;13,2;14,6;16,2;18,2;21;24,3;28,7;33,5;36,3;37,4;37,1;36,1;38,6;41,1;41,6
