Entity;Code;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Cambodia;;...;...;4;5,8;7,9;5,3;12,1;12,8;10,9;9,2;7;7,2;6,6;5,6;5,1;5,2;5,3;5,3;5,6;5,8;5,9;9,6;11,7;13,2;14,7;16,2;18,2;21;24,3;28,7;33,6;36,4;37,4;37,4;36,2;38,6;41,1
Indonesia;62;7,7;7,9;8,9;9,2;10;10,1;11,5;12,5;14,3;15,8;4,7;5,4;5,3;4,2;6,2;9,5;10,7;9,4;11,2;14,2;13,5;13,7;19,1;23,6;26;33;26,9;29,2;28,1;33,1;27,9;30,1;34,3;31,9;36,5;40,2;39,1
Laos;�;...;...;...;...;22,7;23,3;24,5;21,3;15,7;13,1;6,4;2,9;2,5;2,3;2,1;1,9;2;2,1;2,3;2,5;2,7;2,3;2,4;3;3,1;3,5;...;...;...;...;...;...;...;...;...;...;...
Malaysia;63;51,7;59,8;64;86,9;95;100,8;108,4;121,8;117,6;99;53,5;75;67,6;83,2;94;118,1;113,1;122,2;125;148,7;161,7;142,4;135,7;162,3;153,3;164,3;161,6;146,4;132,3;109;105,6;98,4;100,1;107,8;106,5;112,5;122
Myanmar;��64;6,7;14,1;20,6;23,5;33,7;50;67,1;92,9;109;110,1;133,5;156,1;200,5;207,8;239,1;520,7;636,9;697,3;...;...;...;...;...;...;59,8;47,3;47;50,2;47,9;43;29,4;29,2;47,3;49,7;46,5;46,2;92,3
Philippines;65;15,8;15,8;15,3;14,3;16,6;17,6;20,4;24,4;26,3;21,6;16,4;17,5;16,6;13,9;14,6;15,5;14,5;15,7;18,1;22,3;24,7;22,6;25,6;27,7;29,2;33,4;30,1;31,9;31,4;35,7;37,8;38,8;42,1;49,2;46,9;44,9;53
Singapore;;429,3;488,2;602,8;654,4;732,9;758,6;831,3;1058,1;1139,9;1194;1156,8;1139,8;1085,1;1056,2;1090,3;1140,7;1219,4;1297,8;1347,5;1452,8;1584;1535,8;1612,4;1740,9;1750,4;1747,8;1769,3;1708,6;1776,1;1818,6;1885,9;1838,9;1725;1981,9;2167,8;2459,5;2591,4
Thailand;�;34,4;36,3;40,8;47,1;52,8;55,4;62,4;65,6;66,2;54,1;34,5;33,2;30;27,2;27,9;29,1;29,9;28,4;31,8;40,1;54,2;63,9;76;75;78,1;79,8;79,7;77,2;78,7;86,1;93,4;99,2;101,9;99,3;84;80,1;77
East Timor;�66;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;8,8;17,8;24;23,2;34,9;24,6;18,7;29,7;27,6;25,3;31;21,5;20,5;16,3;26,7;29,3;29,3;32,5;40;33,3
Vietnam;�67;21;7,2;7,9;6,5;4,9;4,3;6,1;...;...;...;...;...;...;...;...;10,6;11,4;12,7;15,8;21,5;25,3;27,9;30,7;30,5;37,8;41,4;46,7;49,5;53,7;53,6;57,4;...;...;...;...;...;...
Kazakhstan;�;...;...;...;...;...;...;6,2;10,5;14,6;14,6;15,3;9,3;9,3;14,3;15,8;20,2;27;37,2;49,5;84,1;94,3;77;89,8;106,4;126,7;146,4;130,4;114;70,3;75,1;79,7;97,2;80;82,5;58,5;57,7;59,1
Kyrgyzstan;52;...;...;...;...;...;...;6,2;11;11,5;11,4;9;6,8;7,9;7,1;8,6;10,7;12,2;14,5;17,1;21,9;28;27,8;33,9;38;37,5;40,8;43,1;38,7;37,6;38,9;39,9;39,7;39,2;38,9;51,1;69;66,3
Tajikistan;�;...;...;...;...;0,2;4,1;2,5;1;2,2;3,1;3,7;2,4;1,7;2;4;5,3;6,7;...;...;...;7,2;6,4;7,1;9,2;9,6;...;12,5;11,8;9,7;8,7;8,9;8,8;8;9,1;20,2;27,7;23,5
Turkmenistan;�53;...;...;...;...;...;...;19,5;32,6;11,5;24,7;20;25,2;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Uzbekistan;�54;...;...;...;...;...;...;3,9;5;7,4;9,2;...;10,3;4,7;2,4;1,8;2,1;...;...;...;...;...;...;...;...;...;...;...;...;...;...;44,9;...;...;...;...;...;...
Albania;��3;...;...;...;...;9,6;12;15,2;15,6;14,1;9,2;10,4;13,4;14,3;16,9;18,7;24,4;32,5;35,7;46;64,2;85;61,4;63,1;67,7;62,9;61,9;61,3;45,6;45,2;49,8;60,7;68,2;68,3;77,7;80,7;140,9;191,1
Bosnia and Herzegovina;���11;...;...;...;...;...;...;...;...;...;...;...;...;...;...;57,5;48,3;48;42,1;43,7;48,2;58,6;61,9;57,2;56,1;53,2;54,4;53,1;45,8;45,2;45,3;50,5;49,1;50,4;64;57,4;61,8;68
Bulgaria;�13;...;230,4;89,5;26,5;29,6;33,3;28,7;37,1;25,7;29,6;39,2;44,1;43,7;51;57,8;72,6;79,8;86,5;93,4;130,1;153,6;120,5;111,5;102,3;98,2;111,4;103,2;87,8;93,7;101,4;136,4;308,4;161;184,4;210,1;292;343,7
Croatia;70;...;...;...;...;7,5;121,5;313,1;419;394,2;371,2;299,7;235,9;153,3;145,2;167,5;165,5;168,7;181,9;191,3;221;288,1;255;228;254;223,4;226,3;254,3;212;200,9;221,7;234,9;246,3;247,2;345,4;327,8;368,7;418,9
Czechia;71;...;...;...;...;...;79,1;90,9;103,2;109,1;96,1;113,5;117,5;113;115,6;146;184,1;199,2;237,5;238,1;262,4;281,8;261,4;239,2;236;211,4;204,5;192,4;169,2;185,7;197,2;257;275,8;308,1;373,3;380,8;467;604,6
Czechoslovakia;72;...;...;...;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Estonia;?73;...;...;...;...;...;8,6;16,9;24,8;28,7;37,2;42,3;52,5;55,9;67,3;88,2;124,7;150;150,5;174,9;277;321,1;264,5;249,2;292,7;329,7;363,1;389,1;353,1;378,2;408,4;466,2;480,8;540,3;562,8;613,9;904,1;1054,8
German Democratic Republic;74;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Hungary;;98,3;78;81,6;69,6;78,3;71;73,2;59,3;56,7;67,6;60,2;68,7;70,2;83;106,3;138,5;151,8;158,4;140,2;176,9;186,3;147,4;135,2;147,7;133,2;129,2;122,5;114,9;131,1;173,8;165,2;224,2;283,4;247,6;336,3;449,8;488,6
Kosovo;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,5;15,1;21,5;28,5;24,1;26,8;29,5;27,8;29,5;32,5;35,7;37,3;45,2;45,3;62,3;77,9;97,9
Latvia;?75;...;...;...;...;...;6,8;13,3;17,4;15,4;15,5;17,4;23,6;29,4;36,9;63,4;82,2;100,7;121,1;165;218;265,4;168,2;122,4;143,1;125,1;140,1;147,7;142,3;205,5;247,4;366,6;360,4;388,9;434,6;456,1;665,1;758,3
Lithuania;?;...;...;...;...;...;5,6;5,7;8,4;11,7;21,1;38,8;30,1;40;47,8;52,5;61,4;79,7;90,6;106,9;136;168,5;127,1;103,9;112,9;109,4;119,4;145;161,3;220;285;375,9;391,3;420,1;467,2;621,2;761,3;916,5
North Macedonia;�77;...;...;...;...;...;...;...;...;65,2;41,2;38,9;32,4;34;109,7;51,3;55,7;64,9;60,8;60,3;77,9;83,1;76,9;63,2;64,7;58,7;62,6;61,9;50,2;52,5;51,6;62;76,5;81,4;110,6;119,4;145,2;193,5
Montenegro;76;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;95,9;98,3;101,2;134,4;121,1;118,8;125,6;107;102,3;106,7;90,3;98,6;105,7;122;120,5;135,9;150,4;162,8;181,9;234,8
Poland;78;47,2;39,4;40,5;45,2;49,3;55,5;58,8;70,9;80,4;83,2;91,1;84,2;82,2;94,9;98,7;108,6;125,1;154,6;173,7;225,8;246;208;231,2;247,7;235;242,5;270,4;266,9;239,5;258;314,8;308,3;358,9;401,2;404,2;678,7;981,6
Romania;�?;110,8;112,6;75,9;60;36,2;31,6;41,1;43,3;38,7;47,8;56,1;43;42,3;44,8;48,3;57,7;71,2;92,7;106,6;124,5;144,3;107,8;101,7;116,9;104,1;121,9;134,5;129,5;133,4;183,6;221,9;236;259,7;274,2;270,7;293,6;457,1
Serbia;79;...;...;...;...;...;...;...;...;...;117,2;82,5;95,1;43,7;64,4;88,9;96,1;97,5;83,3;93,7;129,6;148,8;131;117,7;133,7;117,7;127,7;126,7;97,2;109,7;112,2;151,1;168,5;184,8;263,6;213,6;264,7;343,7
Slovakia;?;...;...;...;...;...;50,2;56,2;117,7;119,7;93,1;74;60,8;63,6;73,2;81,8;116,1;132,3;153,1;169,5;211,9;262,5;250,9;211,1;197,4;188,9;179;184,3;182;185;193,1;238,2;330,9;375,4;378,4;384,1;442,6;516,2
Slovenia;?;...;...;...;...;140,8;115,6;119,7;168,3;166;146,5;151,9;139;112;136,6;164,2;209,3;247,4;257,9;304,4;345,3;410,2;393,9;377,9;325,4;265;246,6;236,2;194,6;217,9;229,8;256,7;276;271,5;360,8;366,9;431;449,2
Yugoslavia;80;...;...;...;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Armenia;�6;...;...;...;...;...;2,8;...;15,7;15,9;19,6;20,7;21,4;21,6;21,3;20,9;25,1;32,4;46,7;62,8;93,9;133,5;121,7;134,4;133,7;130,2;152,1;156,6;153,1;147,7;152,1;176,3;224,3;218,6;215;278,1;457;475,2
Azerbaijan;?7;...;...;...;...;1,5;10,4;5,8;8,6;9,2;11,7;13,4;14,9;14,7;16,1;16,9;21,1;27,1;35,6;82,9;107,9;180,9;163,7;162,4;334,8;348,6;356,7;358,2;299,2;142,4;154;167;184,2;220,4;264,8;291,6;344,7;366,5
Belarus;;...;...;...;...;...;...;...;17,5;18;24,6;22,5;16,5;14;17,8;20,6;23,5;32,2;46,7;65,6;78;92,5;71;80,8;79,8;85,3;101,4;86,8;67,8;75,8;78,8;97,3;95;91,6;102,3;120,1;172,7;164,1
Georgia;��81;...;...;...;...;...;...;...;...;13,9;9,3;8,9;5,7;4,3;5,6;8,2;10,4;17,3;53;100,8;234;275,8;153,6;116,2;120,7;127,7;115,6;109,6;79;83,1;84,7;88;81,8;75,8;79,2;106,1;133,5;161,7
Moldova;��82;...;...;...;...;...;...;...;3;3,5;4;2,4;1,4;1,2;1,4;1,7;2;2,3;3;4,2;5,8;9,7;6,7;5;6,4;6,8;7,8;8,2;7;8,4;9,6;11,8;13,7;14,4;16,8;17,4;30,6;36,3
Russia;83;...;...;...;...;...;52,4;91,5;85,9;106,8;118,8;53,8;43,8;62,8;79,8;95,7;116,2;144,1;188,7;239,2;302,5;390,7;358,3;408;487,9;565,2;611,7;585;457,8;475,8;458,2;421;445;421,1;450,8;703,6;749,6;1025,9
Ukraine;84;...;...;...;...;...;2,9;17,6;20,2;28,5;40,6;27,8;18,8;22,8;22,1;24,1;29,5;35;50,3;63,1;86,8;102,5;73,9;80,1;79,5;89,5;95;86;76,4;74,9;80,1;104,8;138,9;152,5;154,9;934,4;1707;1728,2
USSR;;...;...;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Austria;;226,2;213,8;258;258,5;274,3;268,3;280,9;321,9;309;271,7;270,9;266,1;240,6;223;233,4;294;329;327,5;319,8;422,5;450,9;400;385,3;407;379;382;388,4;310,4;331,6;359,4;384;376,6;431,4;469,3;401,7;487,3;576,3
Belgium;;413,6;391;466,9;463,6;412,2;372;390,5;439,1;418,2;362,2;359,5;352,3;311,6;295,8;305,3;374,2;410;404,8;409,8;487,9;590,3;522,7;482,4;499,9;466,7;472,5;464,3;373,9;376,2;390,5;424,6;415,6;461,4;539,9;594,7;652,2;730
Cyprus;��;320,4;317,4;525,4;526,9;783,7;328,4;357;349,9;513,8;600,8;533,9;314,2;299,1;342,7;249,5;291,3;335,5;370,9;371;380,8;419,4;428,5;426,8;421,9;358,6;327,6;299,9;270,8;240,5;288,2;356,6;362,5;373,3;413,6;401,9;417,7;442,4
Denmark;;452,4;425,7;516;519,1;549,7;517,7;523,1;597,8;587,7;531,6;537,5;524,1;448,9;472,1;501,9;594,2;663;641;717,9;766,6;874,4;786,9;813,6;812,5;792,4;752,6;720,8;594,4;629,5;654,7;788,6;773;839,3;903;932,2;1371;1669,8
Finland;85;345,1;356,5;430,4;440,3;412,8;319,6;345,9;374,4;395,1;379,4;380,7;320,5;301,3;285,5;310,2;475,4;554,2;572,7;595,2;624,7;746,8;739,9;694,7;762,7;730,1;766,7;731,2;621,2;622,4;623,5;681;658,8;700,2;692,4;801,4;1060,5;1245,2
France;101;539,6;524,8;629,3;627,8;660,2;620;644;690,6;668,7;593,4;573,3;554,8;479,2;468,3;508,6;637,1;730,6;723,7;740,4;814,1;884,3;896,6;822,7;851,3;785,9;809,7;823,1;704,1;703,1;730,8;784,8;768,6;811,7;890;826,3;896,2;972,6
Germany;;420,9;400,4;499,5;462,6;488;428,9;416,8;471;444,6;377,9;376,8;374,3;322,6;314;335,1;400;433,7;434,4;437,5;492,8;555,3;549,7;532,1;558,9;541,3;546,7;550,3;467,8;483,4;509,7;558,5;587,9;637,5;675,8;670,3;797,2;1044,4
Greece;;270,8;251;311,9;306,1;350,6;323,9;343,6;398,3;437,5;431,7;453;468,4;424,4;409,6;435,3;461,8;573,3;641,1;691,6;773,5;956,2;959,1;734,1;640,6;533,4;513,8;506,2;443,7;460,3;472,6;536;502,1;538,8;776,9;834,8;677,8;791,4
Iceland;86;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Ireland;;128,3;123,5;169,4;177,5;190;167,5;176,9;195,2;207,2;209,5;201,1;198,7;184;200,5;208,2;243,7;273,8;278,8;283,2;316,6;355,5;313,3;280,1;284,5;252,2;259,3;257,1;213,1;211,9;214,4;228,7;226,9;230,6;253,4;230,4;245,7;254,5
Italy;87;305,8;310,4;363,8;378,3;388,5;319,1;315,9;298,1;363,9;352,5;364,1;367,2;347,2;340,7;377;466,3;522,1;509,2;505,3;543,3;620,7;569,7;533,4;561,1;492,7;494,2;456,4;365,8;413,7;437,6;471;438,1;548,4;606,1;581,4;620,1;638,8
Luxembourg;88;208,9;182,5;230,5;253,5;286,2;247,2;284,6;317,3;311;291,2;306,4;297,5;267,2;329,6;312,1;399,7;466;477,7;476,1;542,9;441,9;407,8;492,4;453,4;408,7;435,2;458,3;443,2;409;546,8;590,2;621,8;679,2;635,1;789,3;1002,3;1302,9
Malta;�?;62,2;58,7;57,8;58,8;71,6;65,4;73,3;81,3;86,3;80,1;74,2;70,9;63,7;67,6;70,3;83,8;98,8;127,4;107,1;118,4;134;140,7;139,2;131,8;117,2;125,7;131,7;117,7;132,6;139,6;140,5;162,5;167,5;168,5;149,9;212,5;203,8
Netherlands;;455,3;430,2;495,8;480,1;519,5;460;462,2;515,9;501,8;436,2;433,5;442,3;373,4;384,6;414,2;511,6;571,7;581,6;620;695,5;747,5;729,2;670,7;692,8;613,7;603,6;608,1;507,9;531,6;555;639,9;686,8;743,4;814,6;766,3;922,6;1276
Norway;;689,6;694,8;802;773,5;890,2;738,7;786,9;806,8;809,4;740,5;752,8;744,5;652,6;658,7;898,7;992,4;1067,8;1060,6;1080,1;1255,1;1344,9;1291;1337,7;1470;1432,8;1463,4;1436,1;1125,7;1150,2;1303,4;1424,2;1415,6;1346,2;1564,7;1603,3;1602,8;1880,2
Portugal;;101,7;110;141,6;160,1;192,1;166,2;164,5;201,3;195,5;178,8;174,1;178,4;162,5;170,1;189,2;226,4;271,9;299,5;300;314,1;351,8;353,7;334,5;345,3;288,5;311,1;287,9;254,6;306,8;263,2;314,3;319,6;315,4;374,1;342,8;406,1;445
Spain;89;228,8;238,6;299,4;298,7;311,7;253,9;253,9;286,3;281,3;244,6;255;273;251,1;248,5;248,3;305,6;356,1;366,9;389,3;445,1;483,7;433,8;421,6;419,7;400,7;367,1;367,4;325,3;300,2;342,9;379,6;363,9;365,9;409,5;425,3;497,2;513,7
Sweden;;552,9;576,9;693,5;684,4;710,5;546,8;551;527,8;486,8;575;569,2;573,8;537,7;482,2;488,8;593,4;614,4;612,3;616,4;700,8;656,1;546,9;630,1;671,7;658,4;683,2;679,7;552,6;551;552,9;566,5;570,8;607,2;730,6;738,8;832,1;1137,9
Switzerland;��90;498,9;465,5;607,7;594,9;604,8;522,8;559,6;661,8;600,3;494;492,4;441,7;390,9;383,6;397,7;447,5;476,1;470,3;446,6;469,8;540,1;527;529;631,8;577,1;625,9;566,6;548,7;548,8;549,6;558,2;587,6;665,8;632,4;646,6;711,2;755,5
United Kingdom;91;673,5;656;760,4;818,6;791;659,4;665,9;659,3;662,4;683,4;704,4;694;667,4;667,8;744,8;877,2;1004,7;1021,2;1055,9;1198,5;1180,1;1028;1019,6;1052,2;1026,7;994,9;1036,9;921,2;812,4;787,3;838,8;845;867;966,3;943,4;1100,2;1186,3
European Union;��103;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;20,2;28,4;26,4
Bahrain;8;440,4;446;473;502,5;517,1;503,2;499,3;517,4;535,5;522,4;521,8;563,2;542,4;550;614,3;660,6;632,5;569,1;596,3;626,3;661,1;718,9;693,7;852,7;983,5;1094,7;1149;1074,5;1077,7;1048,4;1017,1;1043,3;950,5;966,1;1054,8;1045,4;871,5
Egypt;��;81,8;62,8;39,3;22,7;23,3;24,5;27;30;31,9;33,5;34,3;34,6;36,3;38,4;38,5;30,9;30,1;33,1;36;39,6;44,4;46,4;49,9;49,6;49,5;46,3;52,7;55,5;44,9;26,9;29,8;35,1;41,5;46,9;41,6;27,9;20,7
Iran;92;348,2;291,7;286,4;296,2;324,9;23,5;27,8;40,4;56,8;73,4;85,5;102,3;126,4;155,1;47,7;54,6;75,5;95,7;120,5;125,8;147,7;165,6;176,3;183,3;209,1;150,2;122,3;129;147,4;165;137,8;56,8;38,3;64,8;83,9;82;86,6
Iraq;��93;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,6;40;42,9;70;109,8;109,5;122,9;135,6;126,3;225,3;192,2;259,1;156,9;190,7;158,8;186,5;135,7;112;107,7;123,8;135,6
Israel;94;1638,1;1278,7;1476,4;2000,4;1495;1543,5;1509,5;1503,8;1566,7;1539,4;1415,6;1305,7;1380,8;1373,7;1261,1;1275,8;1312;1337,4;1372,9;1648,9;1965,8;1785,6;1908,8;2039,2;1927,1;2116,2;2267,9;2063,8;2143,9;2335,5;2358,9;2369,2;2499;2744,2;2596,3;2991,9;4988,8
Jordan;�;188,5;117,2;94;113,7;91,5;92,3;91,5;64,3;86,3;89,1;97,2;98,1;99,3;97,2;93,9;107,8;101;101,3;115;152,9;196,8;221,6;216,2;215,9;194,5;190,1;184,8;175,5;178,9;191,6;189,3;192,1;191;198,5;209,1;215,9;222
Kuwait;95;813,8;954,7;3967;11643,6;3964,9;1777;1977,2;2221,7;1905,6;1395,3;1256,7;1221,3;1398,9;1355,1;1387,2;1501,6;1616,7;1609,8;1569;1689,5;1717,2;1545,7;1511,6;1786,5;1829,9;1662,2;1625,4;1531,8;1642,5;1656,8;1695,1;1668,2;1554,9;2081,3;1879,6;1618;1595,6
Lebanon;�106;11,5;...;60,2;63,2;119,4;119,6;165,3;190,2;184;166,5;167,4;196,7;216,6;219,5;204,5;205,7;209,2;207,6;214,4;240,2;239,1;287,6;315,5;321,6;342,2;362,7;369,1;342,2;407,2;390,9;456,9;394,7;75,8;30,1;38,2;49,7;109,8
Oman;�96;743,6;717,8;841,8;694;800,6;726,9;737,2;720,2;671,9;681,7;597,3;598,9;695,4;792,6;804;838;938,4;1126,2;1215,4;1276,4;1332,7;1268,4;1352,8;1785,3;2758,9;2343,3;2091,6;1847,4;1849,4;1515,1;1650,4;1420,7;1333,6;1292,7;1277,6;1186,2;1159,4
Qatar;�102;2432,1;2029,8;1826,3;2003,7;...;...;...;...;...;...;...;...;...;...;1096,5;1077,8;1014,9;1130,6;1230,6;1446,5;1733,4;1284,3;1134;...;...;...;...;...;...;...;...;...;...;4153,9;5428,7;...;...
Saudi Arabia;97;1423,1;1291,3;1575,2;1500,6;1344,7;1376,6;1144,1;1013,9;983,8;1285,4;1424,3;1205,5;1267,8;1266,1;1058,8;1021,8;1087,6;1262,5;1408,1;1618,8;1674,6;1737,6;1832,9;1893,6;2125,4;2433,3;2832,7;2957;2090,1;2273,1;2438,8;2168,9;2095,4;2027,2;2252,6;2366,1;2386,5
Syria;�;321,4;123,8;132,6;226,4;225,8;104,9;116,9;66,4;67,2;68,8;70,2;70,4;54,6;60,7;63,9;81,2;76,7;78,1;75,3;79,1;80,4;100,4;105,5;109,7;...;...;...;...;...;...;...;...;...;...;...;...;...
Turkey;?105;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
United Arab Emirates;�98;...;...;...;...;...;...;...;...;...;1232,3;1369,7;1342,6;1738,9;1607;1394,7;1432,2;1581,3;1452,4;1498,4;1615,9;1924,4;2099;2565,9;2718,9;2590,4;3079,9;2839,4;...;...;...;...;...;...;...;...;...;...
Yemen, North;�100;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Yemen;�99;...;...;59,3;72,6;88,9;100,5;148,4;49;24,4;22,6;21,2;21,1;24,5;27,1;35,9;38,2;33,8;36,4;35,5;43,9;48,4;55,7;55;59,3;57,8;57,1;57,6;...;...;...;...;...;...;...;...;...;...
