Entity;Code;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Cape Verde;;14,1;...;...;...;9,1;6,9;8,5;15;10,1;9,6;10,4;11,3;15,1;10,2;9,7;12,3;13,6;14,7;14,3;16,1;21,6;16,7;16,2;19,1;19;19,2;19,6;17,4;19,9;18,2;20,9;18,9;21,9;21,8;19,8;27,6;32,1
Central African Republic;14;...;...;...;7,4;7,7;6,2;3,3;3,9;3,6;...;...;...;...;...;2,7;3,7;3,6;3,6;...;4,3;7;7,8;11,6;11;9,3;10,4;8,2;5,8;5,7;5,8;6,3;8,3;8,9;10,9;8,2;12,3;13,6
Chad;�;14,1;9,9;5,8;...;5,6;6;3,3;2,9;3,4;2,2;2,1;2,6;2,6;3;3,8;4,4;5,2;5,5;21,2;35,7;54,3;63,2;50,9;48,7;...;54,1;28,1;15,3;20,8;14,3;15,9;14,3;19,1;18,9;18,3;19,9;28,1
Democratic Republic of Congo;�15;6,4;1,9;1,3;1,2;2,2;11,7;...;...;2;1,8;0,6;3,1;2,7;...;...;1,4;2,5;2,9;3,4;3,3;2,5;1,9;2,7;3,4;4,6;5;4,4;6,2;4,8;3,5;3,3;3,9;3,8;3,1;3,7;7,6;8,4
Congo;�;...;...;...;...;50,6;42,9;...;...;...;...;...;...;...;16,9;21,3;27,7;35,5;27,8;33,6;43;51,3;...;49,8;...;...;76,5;143,4;...;97,3;70,4;54;54;52,5;53,8;44,6;46,7;29,1
Cote d'Ivoire;18;11,6;11,3;12,1;11,6;12,1;11;6;...;6,8;5,9;...;...;...;...;...;11,3;13;12,6;13,2;15,6;17,3;19,3;17,4;15,7;17,5;18,1;21,6;22,9;23,5;19;22,4;19,3;21,3;21,8;20,2;22,2;20,9
Djibouti;�;66,2;62,2;56,9;51,9;51,7;51,6;49;47,2;38,4;40,4;38,9;37,6;35,4;34,3;42,4;51,8;45,6;53,9;58,5;39,9;41,1;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Equatorial Guinea;�;...;...;...;...;...;...;4,4;6,2;...;...;...;...;...;...;...;...;...;...;...;194;276,2;335,4;...;...;...;...;121,3;96,2;94;88,7;94,1;90,5;95,7;93,8;88;88,9;60,5
Eritrea;�?19;...;...;...;...;...;59,4;42,2;64,8;71,8;43,4;121,3;124,5;103,3;73,7;63,8;75;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Ethiopia;�;14,2;17,4;16,8;10,9;5;3,1;2,7;2,2;2,2;3,7;7,4;10,9;9,3;5,1;4,1;3,8;4,2;4,4;4,3;4,4;4,6;3,9;3,4;3,6;3,9;3,6;4,2;4,3;4,7;4,7;4,7;4,7;6,4;13,2;14,4;11,1;7,1
Gabon;�20;...;...;...;...;...;...;...;...;...;...;...;...;72,5;69,7;71,4;79,5;89,3;81,9;87,7;...;...;...;159;152;153,3;150,1;107;84,7;97,9;125,6;119,6;119,1;114,8;132,5;115,5;108;127
Gambia;��21;2,3;2,8;3,4;3,7;3,1;2,2;1,9;2,3;3,1;3,2;3;2,5;2,3;1,7;1,5;1,3;1,2;1,8;1,6;2,6;9,6;3,8;...;...;5,6;5;6,8;6,5;...;...;4,8;6;6;6,2;5,9;5,2;5,3
Ghana;?22;1,6;1,5;1,8;2,7;2,6;2,5;2,3;2,9;2,5;2,5;3,1;3,1;2,6;1,6;1,8;2,5;2,6;2,9;3,3;5,4;4,7;4,8;4,9;9,1;12,8;9,4;9,1;6,7;5,6;6,4;7,2;7,5;7,6;9,3;7;8,5;7,9
Guinea;23;...;...;...;10,9;8,2;6,3;6,3;...;...;5,6;5,6;6,8;5,5;10,3;11,4;9,6;9;...;...;...;...;...;...;...;15,7;17,8;17,4;19,1;13,6;14,9;15,7;15,4;15,7;18,1;31,8;35,5;38,6
Guinea-Bissau;?24;...;4,7;...;...;...;...;1,9;2;1,7;1,6;2,5;...;7,8;5;5;5,8;...;8,9;...;...;...;9,1;11,1;11;15;13;12,5;9,7;8,7;10,3;11,2;11,6;12,1;12,6;11,8;11,9;...
Kenya;�;12;10,5;11;8,2;6,5;4,3;4,6;5,7;6,3;6,3;6;5,2;5,5;6,3;6,7;7,4;7,6;9;10,3;13,2;15;14,5;15,2;15,3;19,4;19,4;18;18,1;19,6;20,9;22,4;22;21,6;22,6;21,5;19,2;22
Lesotho;�;9,8;12,9;13,5;12,2;13;11,7;13,5;17,7;14,4;14,5;13,9;17;15,2;11,7;9,8;13,7;15,9;17,1;18,1;20,5;14;24;35,5;29;26,3;23,4;23,1;21;19,6;24,5;23,5;20,4;17,4;16,5;15,2;15;15,6
